interval_start,trade_id,market_id,side,entry_odds,fair_probability,edge,btc_price_entry,btc_price_close,bet_size,balance_before,balance_after,outcome,payout,profit_loss,resolved_outcome,mode
2025-12-06T20:00:00+00:00,BT-00001,SYN-202512062000,DOWN,0.4858,0.5200,0.0438,89467.79,89392.44,3.00,100.00,103.11,WIN,6.11,3.11,DOWN,BACKTEST
2025-12-06T23:00:00+00:00,BT-00002,SYN-202512062300,DOWN,0.4680,0.5200,0.0631,89285.93,89171.92,3.09,103.11,106.56,WIN,6.54,3.45,DOWN,BACKTEST
2025-12-06T23:45:00+00:00,BT-00003,SYN-202512062345,UP,0.4892,0.5200,0.0404,89097.99,89236.79,3.20,106.56,109.84,WIN,6.48,3.28,UP,BACKTEST
2025-12-07T12:45:00+00:00,BT-00004,SYN-202512071245,UP,0.4927,0.5500,0.0693,89325.19,89475.90,3.30,109.84,113.17,WIN,6.63,3.33,UP,BACKTEST
2025-12-07T14:30:00+00:00,BT-00005,SYN-202512071430,DOWN,0.4748,0.5200,0.0551,87920.99,88236.09,3.39,113.17,109.78,LOSS,0.00,-3.39,UP,BACKTEST
2025-12-07T15:15:00+00:00,BT-00006,SYN-202512071515,DOWN,0.4853,0.5200,0.0443,88868.79,88735.39,3.29,109.78,113.20,WIN,6.71,3.42,DOWN,BACKTEST
2025-12-07T16:00:00+00:00,BT-00007,SYN-202512071600,DOWN,0.4895,0.5500,0.0731,89554.52,89233.60,3.40,113.20,116.68,WIN,6.88,3.48,DOWN,BACKTEST
2025-12-07T17:00:00+00:00,BT-00008,SYN-202512071700,DOWN,0.4770,0.5200,0.0526,89893.39,89883.63,3.50,116.68,120.44,WIN,7.26,3.76,DOWN,BACKTEST
2025-12-07T17:30:00+00:00,BT-00009,SYN-202512071730,UP,0.4962,0.5500,0.0652,90723.90,90854.88,3.61,120.44,124.03,WIN,7.20,3.59,UP,BACKTEST
2025-12-07T18:15:00+00:00,BT-00010,SYN-202512071815,UP,0.5217,0.5500,0.0379,91327.99,91574.89,3.72,124.03,127.37,WIN,7.06,3.34,UP,BACKTEST
2025-12-07T20:30:00+00:00,BT-00011,SYN-202512072030,DOWN,0.4766,0.5200,0.0530,91430.10,91490.93,3.82,127.37,123.55,LOSS,0.00,-3.82,UP,BACKTEST
2025-12-07T21:45:00+00:00,BT-00012,SYN-202512072145,DOWN,0.4826,0.5500,0.0811,90529.93,90231.32,3.71,123.55,127.45,WIN,7.61,3.90,DOWN,BACKTEST
2025-12-08T01:30:00+00:00,BT-00013,SYN-202512080130,UP,0.4925,0.5500,0.0695,91142.58,91253.86,3.82,127.45,131.31,WIN,7.68,3.86,UP,BACKTEST
2025-12-08T03:00:00+00:00,BT-00014,SYN-202512080300,DOWN,0.4742,0.5200,0.0558,91364.18,91155.48,3.94,131.31,135.60,WIN,8.23,4.29,DOWN,BACKTEST
2025-12-08T05:00:00+00:00,BT-00015,SYN-202512080500,DOWN,0.5083,0.5500,0.0513,91291.33,91113.37,4.07,135.60,139.45,WIN,7.93,3.86,DOWN,BACKTEST
2025-12-08T09:00:00+00:00,BT-00016,SYN-202512080900,UP,0.4933,0.5200,0.0363,91833.89,92077.86,4.18,139.45,143.66,WIN,8.39,4.21,UP,BACKTEST
2025-12-08T11:00:00+00:00,BT-00017,SYN-202512081100,DOWN,0.4934,0.5200,0.0362,92133.39,92147.72,4.31,143.66,139.35,LOSS,0.00,-4.31,UP,BACKTEST
2025-12-08T11:30:00+00:00,BT-00018,SYN-202512081130,DOWN,0.4886,0.5200,0.0410,92040.21,91925.53,4.18,139.35,143.64,WIN,8.47,4.29,DOWN,BACKTEST
2025-12-08T14:30:00+00:00,BT-00019,SYN-202512081430,UP,0.4935,0.5500,0.0683,91369.83,91516.68,4.31,143.64,147.98,WIN,8.65,4.34,UP,BACKTEST
2025-12-08T15:15:00+00:00,BT-00020,SYN-202512081515,UP,0.4852,0.5200,0.0444,90239.17,89981.15,4.44,147.98,143.54,LOSS,0.00,-4.44,DOWN,BACKTEST
2025-12-08T16:00:00+00:00,BT-00021,SYN-202512081600,DOWN,0.5238,0.5500,0.0358,89961.36,89950.01,4.31,143.54,147.37,WIN,8.15,3.84,DOWN,BACKTEST
2025-12-08T16:45:00+00:00,BT-00022,SYN-202512081645,DOWN,0.4829,0.5200,0.0467,90279.98,89978.48,4.42,147.37,152.02,WIN,9.06,4.64,DOWN,BACKTEST
2025-12-08T17:15:00+00:00,BT-00023,SYN-202512081715,DOWN,0.4848,0.5200,0.0448,90131.46,89964.92,4.56,152.02,156.77,WIN,9.31,4.75,DOWN,BACKTEST
2025-12-08T18:45:00+00:00,BT-00024,SYN-202512081845,DOWN,0.4847,0.5200,0.0449,90418.27,89921.68,4.70,156.77,161.67,WIN,9.60,4.90,DOWN,BACKTEST
2025-12-09T00:30:00+00:00,BT-00025,SYN-202512090030,DOWN,0.5214,0.5500,0.0382,90690.79,90440.49,4.85,161.67,166.03,WIN,9.21,4.36,DOWN,BACKTEST
2025-12-09T02:00:00+00:00,BT-00026,SYN-202512090200,UP,0.4901,0.5200,0.0395,90055.80,90118.02,4.98,166.03,171.11,WIN,10.06,5.08,UP,BACKTEST
2025-12-09T03:30:00+00:00,BT-00027,SYN-202512090330,UP,0.5201,0.5500,0.0395,90030.00,90355.20,5.13,171.11,175.74,WIN,9.77,4.64,UP,BACKTEST
2025-12-09T04:30:00+00:00,BT-00028,SYN-202512090430,DOWN,0.5132,0.5500,0.0464,90400.47,89921.88,5.27,175.74,180.64,WIN,10.17,4.90,DOWN,BACKTEST
2025-12-09T05:30:00+00:00,BT-00029,SYN-202512090530,UP,0.4876,0.5200,0.0420,89862.48,90103.82,5.42,180.64,186.22,WIN,11.00,5.58,UP,BACKTEST
2025-12-09T07:15:00+00:00,BT-00030,SYN-202512090715,UP,0.4849,0.5200,0.0447,90115.99,90363.13,5.59,186.22,192.04,WIN,11.41,5.82,UP,BACKTEST
2025-12-09T09:00:00+00:00,BT-00031,SYN-202512090900,DOWN,0.4714,0.5200,0.0590,90498.72,90436.65,5.76,192.04,198.38,WIN,12.10,6.34,DOWN,BACKTEST
