timestamp                       , trade_id      , market_id, market_question                                     , side, entry_odds, fair_probability, edge  , btc_price, bet_size, balance_before, balance_after, outcome, payout, profit_loss, mode
2026-01-05T16:00:05.664159+00:00, T1767628805664,   1105274, "Bitcoin Up or Down - January 5, 11:00AM-11:15AM ET", UP  ,     0.4750,           0.5200, 0.0450,  93966.64,     3.00,         100.00,        103.25, WIN    ,   6.25, 3.25       , TEST
2026-01-05T18:00:17.042979+00:00, T1767636017042,   1106034, "Bitcoin Up or Down - January 5, 1:00PM-1:15PM ET"  , UP  ,     0.5100,           0.5500, 0.0400,  94391.00,     3.00,         100.00,         97.00, LOSS   ,   0.00, -3.00      , TEST
2026-01-06T01:30:10.163892+00:00, T1767663010163,   1111080, "Bitcoin Up or Down - January 5, 8:30PM-8:45PM ET"  , UP  ,     0.4700,           0.5200, 0.0500,  94109.65,     3.00,         100.00,         97.00, LOSS   ,   0.00, -3.00      , TEST
2026-01-06T14:47:45.836305+00:00, T1767710865836,   1114210, "Bitcoin Up or Down - January 6, 9:45AM-10:00AM ET" , DOWN,     0.5050,           0.5500, 0.0450,  93890.01,     2.91,          97.00,         99.79, WIN    ,   5.70, 2.79       , TEST
2026-01-06T15:46:01.224850+00:00, T1767714361224,   1114470, "Bitcoin Up or Down - January 6, 10:45AM-11:00AM ET", DOWN,     0.4650,           0.5200, 0.0550,  93352.01,     2.99,          99.79,        103.17, WIN    ,   6.37, 3.38       , TEST
2026-01-06T17:30:02.532840+00:00, T1767720602532,   1115294, "Bitcoin Up or Down - January 6, 12:30PM-12:45PM ET", DOWN,     0.4850,           0.5200, 0.0350,  92517.15,     3.00,         100.00,         97.00, LOSS   ,   0.00, -3.00      , TEST
2026-01-06T18:00:03.637094+00:00, T1767722403637,   1115400, "Bitcoin Up or Down - January 6, 1:00PM-1:15PM ET"  , DOWN,     0.4350,           0.5200, 0.0850,  91536.40,     2.91,          97.00,         91.27, LOSS   ,   0.00, -2.91      , TEST
2026-01-06T18:15:04.311152+00:00, T1767723304311,   1115424, "Bitcoin Up or Down - January 6, 1:15PM-1:30PM ET"  , DOWN,     0.4550,           0.5200, 0.0650,  91822.93,     2.82,          94.09,         91.27, LOSS   ,   0.00, -2.82      , TEST
2026-01-06T21:31:27.409353+00:00, T1767735087409,   1116559, "Bitcoin Up or Down - January 6, 4:30PM-4:45PM ET"  , UP  ,     0.4650,           0.5200, 0.0550,  93560.69,     2.74,          91.27,         88.53, LOSS   ,   0.00, -2.74      , TEST
2026-01-07T01:00:03.726161+00:00, T1767747603726,   1118147, "Bitcoin Up or Down - January 6, 8:00PM-8:15PM ET"  , DOWN,     0.4850,           0.5200, 0.0350,  92712.37,     2.66,          88.53,         85.87, LOSS   ,   0.00, -2.66      , TEST
2026-01-07T01:15:32.366215+00:00, T1767748532366,   1118341, "Bitcoin Up or Down - January 6, 8:15PM-8:30PM ET"  , DOWN,     0.4950,           0.5500, 0.0550,  92606.84,     2.58,          85.87,         83.29, LOSS   ,   0.00, -2.58      , TEST
2026-01-07T04:18:00.080132+00:00, T1767759480080,   1119208, "Bitcoin Up or Down - January 6, 11:15PM-11:30PM ET", DOWN,     0.4850,           0.5200, 0.0350,  92688.65,     2.50,          83.29,         80.79, LOSS   ,   0.00, -2.50      , TEST
2026-01-07T05:46:12.374485+00:00, T1767764772374,   1119683, "Bitcoin Up or Down - January 7, 12:45AM-1:00AM ET" , DOWN,     0.4850,           0.5200, 0.0350,  92623.34,     2.42,          80.79,         78.37, LOSS   ,   0.00, -2.42      , TEST
2026-01-07T09:00:49.262460+00:00, T1767776449262,   1120510, "Bitcoin Up or Down - January 7, 4:00AM-4:15AM ET"  , DOWN,     0.4850,           0.5200, 0.0350,  92635.35,     2.35,          78.37,         80.82, WIN    ,   4.80, 2.45       , TEST
2026-01-07T10:02:05.468087+00:00, T1767780125468,   1120660, "Bitcoin Up or Down - January 7, 5:00AM-5:15AM ET"  , DOWN,     0.4550,           0.5200, 0.0650,  91600.01,     2.42,          80.82,         83.66, WIN    ,   5.27, 2.85       , TEST
2026-01-07T14:01:49.882609+00:00, T1767794509882,   1121554, "Bitcoin Up or Down - January 7, 9:00AM-9:15AM ET"  , DOWN,     0.4750,           0.5200, 0.0450,  91918.59,     2.51,          83.66,         86.38, WIN    ,   5.23, 2.72       , TEST
2026-01-07T14:31:30.263337+00:00, T1767796290263,   1121701, "Bitcoin Up or Down - January 7, 9:30AM-9:45AM ET"  , DOWN,     0.4500,           0.5200, 0.0700,  91410.21,     2.59,          86.38,         83.79, LOSS   ,   0.00, -2.59      , TEST
2026-01-07T15:02:22.527478+00:00, T1767798142527,   1121763, "Bitcoin Up or Down - January 7, 10:00AM-10:15AM ET", DOWN,     0.5050,           0.5500, 0.0450,  91496.91,     2.51,          83.79,         83.76, WIN    ,   4.92, 2.41       , TEST
2026-01-07T15:16:14.066762+00:00, T1767798974066,   1121776, "Bitcoin Up or Down - January 7, 10:15AM-10:30AM ET", DOWN,     0.5050,           0.5500, 0.0450,  91482.42,     2.44,          81.28,         81.25, LOSS   ,   0.00, -2.44      , TEST
2026-01-07T15:31:02.540339+00:00, T1767799862540,   1121980, "Bitcoin Up or Down - January 7, 10:30AM-10:45AM ET", DOWN,     0.4750,           0.5200, 0.0450,  91158.99,     2.51,          83.76,         86.49, WIN    ,   5.23, 2.72       , TEST
2026-01-07T15:46:40.414782+00:00, T1767800800414,   1122087, "Bitcoin Up or Down - January 7, 10:45AM-11:00AM ET", DOWN,     0.4850,           0.5200, 0.0350,  91281.08,     2.59,          86.49,         89.18, WIN    ,   5.29, 2.70       , TEST
2026-01-07T18:01:32.588683+00:00, T1767808892588,   1123564, "Bitcoin Up or Down - January 7, 1:00PM-1:15PM ET"  , DOWN,     0.4750,           0.5200, 0.0450,  91178.74,     3.00,         100.00,         94.09, LOSS   ,   0.00, -3.00      , TEST
2026-01-07T18:15:18.660952+00:00, T1767809718660,   1123579, "Bitcoin Up or Down - January 7, 1:15PM-1:30PM ET"  , DOWN,     0.4850,           0.5200, 0.0350,  91213.55,     2.91,          97.00,        100.03, WIN    ,   5.94, 3.03       , TEST
2026-01-07T19:17:15.788913+00:00, T1767813435788,   1123980, "Bitcoin Up or Down - January 7, 2:15PM-2:30PM ET"  , DOWN,     0.4650,           0.5200, 0.0550,  90688.01,     3.00,         100.03,        103.42, WIN    ,   6.39, 3.39       , TEST
2026-01-07T20:02:02.225856+00:00, T1767816122225,   1124306, "Bitcoin Up or Down - January 7, 3:00PM-3:15PM ET"  , UP  ,     0.4750,           0.5200, 0.0450,  91293.49,     3.10,         103.42,        106.78, WIN    ,   6.46, 3.36       , TEST
2026-01-07T20:45:13.607135+00:00, T1767818713607,   1124792, "Bitcoin Up or Down - January 7, 3:45PM-4:00PM ET"  , DOWN,     0.4850,           0.5200, 0.0350,  91000.46,     3.20,         106.78,        110.11, WIN    ,   6.53, 3.33       , TEST
2026-01-08T02:46:46.901959+00:00, T1767840406901,   1126706, "Bitcoin Up or Down - January 7, 9:45PM-10:00PM ET" , DOWN,     0.4550,           0.5200, 0.0650,  90792.01,     3.30,         110.11,        106.81, LOSS   ,   0.00, -3.30      , TEST
2026-01-08T07:01:10.615100+00:00, T1767855670615,   1127680, "Bitcoin Up or Down - January 8, 2:00AM-2:15AM ET"  , DOWN,     0.4750,           0.5200, 0.0450,  89917.94,     3.20,         106.81,        110.28, WIN    ,   6.67, 3.47       , TEST
2026-01-08T10:02:49.350553+00:00, T1767866569350,   1128175, "Bitcoin Up or Down - January 8, 5:00AM-5:15AM ET"  , DOWN,     0.4950,           0.5500, 0.0550,  89826.40,     3.31,         110.28,        113.59, WIN    ,   6.62, 3.31       , TEST
2026-01-08T13:32:32.429233+00:00, T1767879152429,   1128882, "Bitcoin Up or Down - January 8, 8:30AM-8:45AM ET"  , DOWN,     0.4850,           0.5200, 0.0350,  89974.69,     3.41,         113.59,        117.14, WIN    ,   6.96, 3.55       , TEST
2026-01-08T15:01:02.474959+00:00, T1767884462474,   1129150, "Bitcoin Up or Down - January 8, 10:00AM-10:15AM ET", DOWN,     0.4750,           0.5200, 0.0450,  89911.24,     3.51,         117.14,        120.95, WIN    ,   7.32, 3.81       , TEST
2026-01-08T16:00:09.028839+00:00, T1767888009028,   1129307, "Bitcoin Up or Down - January 8, 11:00AM-11:15AM ET", UP  ,     0.4950,           0.5500, 0.0550,  90830.47,     3.63,         120.95,        124.58, WIN    ,   7.26, 3.63       , TEST
2026-01-08T16:15:53.019290+00:00, T1767888953019,   1129327, "Bitcoin Up or Down - January 8, 11:15AM-11:30AM ET", DOWN,     0.5150,           0.5500, 0.0350,  90582.91,     3.74,         124.58,        128.03, WIN    ,   7.19, 3.45       , TEST
2026-01-08T16:32:41.093400+00:00, T1767889961093,   1129513, "Bitcoin Up or Down - January 8, 11:30AM-11:45AM ET", DOWN,     0.4950,           0.5500, 0.0550,  90474.01,     3.84,         128.03,        124.19, LOSS   ,   0.00, -3.84      , TEST
2026-01-08T17:01:42.000002+00:00, T1767891702000,   1129668, "Bitcoin Up or Down - January 8, 12:00PM-12:15PM ET", UP  ,     0.4850,           0.5200, 0.0350,  90897.31,     3.73,         124.19,        128.07, WIN    ,   7.61, 3.88       , TEST
2026-01-08T17:32:01.630657+00:00, T1767893521630,   1129873, "Bitcoin Up or Down - January 8, 12:30PM-12:45PM ET", UP  ,     0.4850,           0.5200, 0.0350,  90974.43,     3.84,         128.07,        124.23, LOSS   ,   0.00, -3.84      , TEST
2026-01-08T17:47:12.436852+00:00, T1767894432436,   1129952, "Bitcoin Up or Down - January 8, 12:45PM-1:00PM ET" , UP  ,     0.4650,           0.5200, 0.0550,  91312.48,     3.73,         124.23,        120.50, LOSS   ,   0.00, -3.73      , TEST
2026-01-08T19:17:14.953497+00:00, T1767899834953,   1130436, "Bitcoin Up or Down - January 8, 2:15PM-2:30PM ET"  , DOWN,     0.4950,           0.5500, 0.0550,  90999.16,     3.61,         120.50,        124.11, WIN    ,   7.22, 3.61       , TEST
2026-01-08T19:45:59.558040+00:00, T1767901559558,   1130828, "Bitcoin Up or Down - January 8, 2:45PM-3:00PM ET"  , DOWN,     0.4850,           0.5200, 0.0350,  91127.17,     3.72,         124.11,        127.98, WIN    ,   7.59, 3.87       , TEST
