timestamp,trade_id,market_id,market_question,side,entry_odds,fair_probability,edge,btc_price,bet_size,balance_before,balance_after,outcome,payout,profit_loss,mode
2026-02-12T14:46:48.475432+00:00,T1770907608475,1366106,"Bitcoin Up or Down - February 12, 9:45AM-10:00AM E",DOWN,0.4800,0.5500,0.0500,67599.62,7.81,244.93,253.23,WIN,16.11,8.30,LIVE
2026-02-12T15:30:01.514437+00:00,T1770910201514,1366234,"Bitcoin Up or Down - February 12, 10:30AM-10:45AM ",UP,0.5000,0.5500,0.0500,67862.30,8.29,252.01,243.72,LOSS,0.00,-8.29,LIVE
2026-02-12T16:15:54.943520+00:00,T1770912954943,1366307,"Bitcoin Up or Down - February 12, 11:15AM-11:30AM ",DOWN,0.4800,0.5200,0.0400,66573.84,7.56,244.46,252.49,WIN,15.59,8.03,LIVE
2026-02-12T16:30:08.293295+00:00,T1770913808293,1366409,"Bitcoin Up or Down - February 12, 11:30AM-11:45AM ",DOWN,0.4500,0.5200,0.0800,66082.68,7.33,252.49,245.16,LOSS,0.00,-7.33,LIVE
2026-02-12T16:45:03.365292+00:00,T1770914703365,1366456,"Bitcoin Up or Down - February 12, 11:45AM-12:00PM ",DOWN,0.4700,0.5200,0.0500,66289.62,8.05,245.16,254.07,WIN,16.96,8.91,LIVE
2026-02-12T18:00:04.458733+00:00,T1770919204458,1366735,"Bitcoin Up or Down - February 12, 1:00PM-1:15PM ET",DOWN,0.4600,0.5200,0.0600,65428.69,7.88,254.83,246.95,LOSS,0.00,-7.88,LIVE
2026-02-12T18:30:03.744926+00:00,T1770921003744,1366810,"Bitcoin Up or Down - February 12, 1:30PM-1:45PM ET",DOWN,0.5000,0.5500,0.0500,65286.09,7.64,247.20,239.56,LOSS,0.00,-7.64,LIVE
2026-02-12T20:00:05.189779+00:00,T1770926405189,1367119,"Bitcoin Up or Down - February 12, 3:00PM-3:15PM ET",DOWN,0.4500,0.5200,0.0600,65818.19,7.42,239.79,248.69,WIN,16.32,8.90,LIVE
2026-02-12T22:45:03.528397+00:00,T1770936303528,1367420,"Bitcoin Up or Down - February 12, 5:45PM-6:00PM ET",UP,0.4600,0.5500,0.0900,66200.00,7.46,241.12,249.72,WIN,16.06,8.60,LIVE
2026-02-13T08:15:10.494454+00:00,T1770970510494,1368665,"Bitcoin Up or Down - February 13, 3:15AM-3:30AM ET",DOWN,0.4699,0.5200,0.0500,66277.70,7.72,249.55,241.83,LOSS,0.00,-7.72,LIVE
2026-02-14T07:45:02.774762+00:00,T1771055102774,1371725,"Bitcoin Up or Down - February 14, 2:45AM-3:00AM ET",UP,0.4600,0.5200,0.0500,69190.94,7.49,242.23,250.86,WIN,16.12,8.63,LIVE
2026-02-14T13:00:03.869148+00:00,T1771074003869,1372520,"Bitcoin Up or Down - February 14, 8:00AM-8:15AM ET",DOWN,0.4699,0.5500,0.0700,69635.99,7.74,250.17,242.43,LOSS,0.00,-7.74,LIVE
2026-02-14T13:30:02.937271+00:00,T1771075802937,1372563,"Bitcoin Up or Down - February 14, 8:30AM-8:45AM ET",DOWN,0.4699,0.5200,0.0500,69270.67,7.51,242.67,235.16,LOSS,0.00,-7.51,LIVE
2026-02-15T01:45:16.818676+00:00,T1771119916818,1375192,"Bitcoin Up or Down - February 14, 8:45PM-9:00PM ET",DOWN,0.4600,0.5500,0.0900,69405.34,7.28,235.43,228.15,LOSS,0.00,-7.28,LIVE
2026-02-15T04:15:11.465950+00:00,T1771128911465,1375381,"Bitcoin Up or Down - February 14, 11:15PM-11:30PM ",UP,0.4500,0.5200,0.0700,70418.62,7.06,228.38,221.32,LOSS,0.00,-7.06,LIVE
2026-02-15T08:00:05.466025+00:00,T1771142405466,1376296,"Bitcoin Up or Down - February 15, 3:00AM-3:15AM ET",UP,0.4446,0.5200,0.0700,70833.71,6.85,221.61,214.76,LOSS,0.00,-6.85,LIVE
2026-02-15T08:30:07.713705+00:00,T1771144207713,1376332,"Bitcoin Up or Down - February 15, 3:30AM-3:45AM ET",DOWN,0.4699,0.5200,0.0500,70567.44,6.65,214.76,222.13,WIN,14.01,7.36,LIVE
2026-02-15T13:30:16.126377+00:00,T1771162216126,1376867,"Bitcoin Up or Down - February 15, 8:30AM-8:45AM ET",DOWN,0.3999,0.5500,0.1400,69090.54,6.87,222.24,232.38,WIN,17.01,10.14,LIVE
2026-02-16T15:15:09.203881+00:00,T1771254909203,1381999,"Bitcoin Up or Down - February 16, 10:15AM-10:30AM ",DOWN,0.4699,0.5500,0.0800,68316.81,7.18,232.01,239.95,WIN,15.13,7.95,LIVE
2026-02-16T15:30:02.660180+00:00,T1771255802660,1382038,"Bitcoin Up or Down - February 16, 10:30AM-10:45AM ",DOWN,0.4700,0.5500,0.0800,68200.96,6.96,239.95,247.65,WIN,14.66,7.70,LIVE
2026-02-17T03:01:59.094863+00:00,T1771297319094,1383755,"Bitcoin Up or Down - February 16, 10:00PM-10:15PM ",DOWN,0.5100,0.5200,0.0350,68827.13,7.64,247.15,254.34,WIN,14.83,7.19,LIVE
2026-02-17T14:45:02.649636+00:00,T1771339502649,1385421,"Bitcoin Up or Down - February 17, 9:45AM-10:00AM E",DOWN,0.4650,0.5500,0.0850,67081.99,7.86,254.04,262.91,WIN,16.73,8.87,LIVE
2026-02-17T15:07:01.483858+00:00,T1771340821483,1385575,"Bitcoin Up or Down - February 17, 10:00AM-10:15AM ",DOWN,0.4750,0.5500,0.0750,66864.01,7.62,262.91,271.17,WIN,15.88,8.26,LIVE
2026-02-17T17:15:28.208765+00:00,T1771348528208,1386208,"Bitcoin Up or Down - February 17, 12:15PM-12:30PM ",UP,0.4900,0.5500,0.0450,67280.00,8.60,278.41,287.18,WIN,17.38,8.78,LIVE
2026-02-18T01:30:35.371431+00:00,T1771378235371,1387385,"Bitcoin Up or Down - February 17, 8:30PM-8:45PM ET",DOWN,0.4850,0.5200,0.0350,67000.01,8.85,286.16,277.31,LOSS,0.00,-8.85,LIVE
2026-02-18T05:15:16.471809+00:00,T1771391716471,1387845,"Bitcoin Up or Down - February 18, 12:15AM-12:30AM ",UP,0.4850,0.5200,0.0350,67898.73,8.58,277.76,269.18,LOSS,0.00,-8.58,LIVE
2026-02-18T05:30:18.421257+00:00,T1771392618421,1387848,"Bitcoin Up or Down - February 18, 12:30AM-12:45AM ",DOWN,0.5300,0.5500,0.0350,67723.61,8.33,269.18,276.41,WIN,15.56,7.23,LIVE
2026-02-18T14:36:19.986372+00:00,T1771425379986,1388758,"Bitcoin Up or Down - February 18, 9:30AM-9:45AM ET",DOWN,0.4600,0.5200,0.0450,67099.06,8.55,276.36,267.81,LOSS,0.00,-8.55,LIVE
2026-02-18T16:45:28.103134+00:00,T1771433128103,1389166,"Bitcoin Up or Down - February 18, 11:45AM-12:00PM ",DOWN,0.5100,0.5200,0.0350,67217.89,8.29,268.08,275.88,WIN,16.09,7.80,LIVE
2026-02-18T18:45:14.536522+00:00,T1771440314536,1389642,"Bitcoin Up or Down - February 18, 1:45PM-2:00PM ET",DOWN,0.4900,0.5500,0.0600,66346.01,8.52,275.54,267.02,LOSS,0.00,-8.52,LIVE
2026-02-20T11:45:04.263877+00:00,T1771587904263,1397202,"Bitcoin Up or Down - February 20, 6:45AM-7:00AM ET",DOWN,0.4699,0.5500,0.0750,67437.30,5.27,170.28,176.11,WIN,11.10,5.83,LIVE
2026-02-20T16:18:02.359866+00:00,T1771604282359,1397957,"Bitcoin Up or Down - February 20, 11:15AM-11:30AM ",UP,0.4600,0.5200,0.0600,67641.00,5.44,175.87,170.43,LOSS,0.00,-5.44,LIVE
2026-02-20T17:15:03.549406+00:00,T1771607703549,1398841,"Bitcoin Up or Down - February 20, 12:15PM-12:30PM ",DOWN,0.5150,0.5500,0.0350,67080.19,5.28,170.60,175.47,WIN,10.15,4.87,LIVE
2026-02-20T17:30:02.724949+00:00,T1771608602724,1398859,"Bitcoin Up or Down - February 20, 12:30PM-12:45PM ",DOWN,0.4999,0.5200,0.0350,67006.67,5.12,175.47,170.35,LOSS,0.00,-5.12,LIVE
2026-02-20T18:00:25.180468+00:00,T1771610425180,1398985,"Bitcoin Up or Down - February 20, 1:00PM-1:15PM ET",UP,0.4590,0.5200,0.0550,67625.99,5.30,171.56,166.26,LOSS,0.00,-5.30,LIVE
2026-02-21T15:45:21.030607+00:00,T1771688721030,1402567,"Bitcoin Up or Down - February 21, 10:45AM-11:00AM ",UP,0.4650,0.5200,0.0550,68641.34,8.58,163.19,154.61,LOSS,0.00,-8.58,LIVE
2026-02-23T12:45:02.320929+00:00,T1771850702320,1414082,"Bitcoin Up or Down - February 23, 7:45AM-8:00AM ET",UP,0.4600,0.5500,0.0550,66421.48,8.16,155.04,146.88,LOSS,0.00,-8.16,LIVE
2026-02-23T16:01:26.888139+00:00,T1771862486888,1414726,"Bitcoin Up or Down - February 23, 11:00AM-11:15AM ",DOWN,0.4699,0.5200,0.0750,65652.47,7.75,147.30,155.88,WIN,16.33,8.58,LIVE
2026-02-23T17:30:03.404259+00:00,T1771867803404,1415238,"Bitcoin Up or Down - February 23, 12:30PM-12:45PM ",DOWN,0.4950,0.5500,0.0550,64573.03,8.18,155.34,163.52,WIN,16.36,8.18,LIVE
2026-02-24T15:30:09.707542+00:00,T1771947009707,1418988,"Bitcoin Up or Down - February 24, 10:30AM-10:45AM ",UP,0.4200,0.5500,0.1300,63935.74,8.70,165.38,156.68,LOSS,0.00,-8.70,LIVE
2026-02-25T15:30:06.791743+00:00,T1772033406791,1427546,"Bitcoin Up or Down - February 25, 10:30AM-10:45AM ",UP,0.4850,0.5200,0.0350,67082.33,8.27,157.11,165.73,WIN,16.88,8.61,LIVE
2026-02-25T16:15:39.064866+00:00,T1772036139064,1427837,"Bitcoin Up or Down - February 25, 11:15AM-11:30AM ",DOWN,0.5000,0.5500,0.0450,67617.58,8.65,164.42,155.77,LOSS,0.00,-8.65,LIVE
2026-02-25T18:30:03.669823+00:00,T1772044203669,1428662,"Bitcoin Up or Down - February 25, 1:30PM-1:45PM ET",UP,0.4900,0.5500,0.0850,69351.86,8.72,165.77,174.66,WIN,17.62,8.90,LIVE
2026-02-26T02:45:10.466582+00:00,T1772073910466,1431849,"Bitcoin Up or Down - February 25, 9:45PM-10:00PM E",UP,0.5050,0.5500,0.0450,68224.99,9.17,174.33,183.14,WIN,17.98,8.81,LIVE
2026-02-26T12:45:45.533498+00:00,T1772109945533,1434719,"Bitcoin Up or Down - February 26, 7:45AM-8:00AM ET",DOWN,0.5050,0.5500,0.0450,68082.32,9.58,182.05,172.47,LOSS,0.00,-9.58,LIVE
2026-02-26T14:45:03.786365+00:00,T1772117103786,1435385,"Bitcoin Up or Down - February 26, 9:45AM-10:00AM E",DOWN,0.4950,0.5200,0.0250,67800.53,9.10,172.97,182.25,WIN,18.38,9.28,LIVE
2026-02-26T18:45:02.673240+00:00,T1772131502673,1437312,"Bitcoin Up or Down - February 26, 1:45PM-2:00PM ET",UP,0.4500,0.5200,0.0450,67262.95,9.58,182.54,194.25,WIN,21.29,11.71,LIVE
2026-03-01T22:15:02.399134+00:00,T1772403302399,1470154,"Bitcoin Up or Down - March 1, 5:15PM-5:30PM ET",UP,0.4850,0.5500,0.0650,66033.50,10.11,192.29,182.18,LOSS,0.00,-10.11,LIVE
2026-03-02T00:00:34.966954+00:00,T1772409634966,1471762,"Bitcoin Up or Down - March 1, 7:00PM-7:15PM ET",UP,0.4950,0.5200,0.0250,65800.37,9.61,182.87,192.68,WIN,19.41,9.80,LIVE
2026-03-02T05:46:15.887209+00:00,T1772430375887,1473300,"Bitcoin Up or Down - March 2, 12:45AM-1:00AM ET",UP,0.4850,0.5200,0.0350,66929.37,10.05,191.01,180.96,LOSS,0.00,-10.05,LIVE
2026-03-02T08:00:03.191647+00:00,T1772438403191,1474473,"Bitcoin Up or Down - March 2, 3:00AM-3:15AM ET",UP,0.4900,0.5200,0.0250,66015.10,9.55,181.67,191.61,WIN,19.49,9.94,LIVE
2026-03-02T08:15:03.305127+00:00,T1772439303305,1474563,"Bitcoin Up or Down - March 2, 3:15AM-3:30AM ET",UP,0.4900,0.5500,0.0550,66073.75,9.08,191.61,182.53,LOSS,0.00,-9.08,LIVE
2026-03-02T10:00:05.041709+00:00,T1772445605041,1474919,"Bitcoin Up or Down - March 2, 5:00AM-5:15AM ET",DOWN,0.4600,0.5200,0.0250,66188.51,9.57,181.81,193.05,WIN,20.80,11.23,LIVE
2026-03-02T11:16:25.701495+00:00,T1772450185701,1475308,"Bitcoin Up or Down - March 2, 6:15AM-6:30AM ET",DOWN,0.4750,0.5200,0.0450,66107.06,10.13,192.48,203.68,WIN,21.33,11.20,LIVE
2026-03-02T12:00:06.578628+00:00,T1772452806578,1475431,"Bitcoin Up or Down - March 2, 7:00AM-7:15AM ET",UP,0.4850,0.5200,0.0350,66368.00,10.73,203.91,193.18,LOSS,0.00,-10.73,LIVE
2026-03-02T13:30:25.043056+00:00,T1772458225043,1475728,"Bitcoin Up or Down - March 2, 8:30AM-8:45AM ET",DOWN,0.5000,0.5200,0.0250,65765.15,10.20,193.72,203.92,WIN,20.40,10.20,LIVE
2026-03-02T14:30:10.932892+00:00,T1772461810932,1476025,"Bitcoin Up or Down - March 2, 9:30AM-9:45AM ET",UP,0.5050,0.5500,0.0450,65618.84,10.69,203.11,213.58,WIN,21.17,10.48,LIVE
2026-03-02T14:45:02.020494+00:00,T1772462702020,1476041,"Bitcoin Up or Down - March 2, 9:45AM-10:00AM ET",UP,0.4600,0.5500,0.0850,66604.13,10.16,213.58,225.51,WIN,22.09,11.93,LIVE
2026-03-02T15:00:03.860755+00:00,T1772463603860,1476173,"Bitcoin Up or Down - March 2, 10:00AM-10:15AM ET",UP,0.4550,0.5200,0.0650,67122.75,10.65,225.51,238.27,WIN,23.41,12.76,LIVE
2026-03-02T15:15:01.359341+00:00,T1772464501359,1476274,"Bitcoin Up or Down - March 2, 10:15AM-10:30AM ET",UP,0.4400,0.5500,0.1150,68429.89,11.21,238.27,252.53,WIN,25.48,14.27,LIVE
2026-03-02T15:45:02.543671+00:00,T1772466302543,1476310,"Bitcoin Up or Down - March 2, 10:45AM-11:00AM ET",UP,0.4300,0.5200,0.0850,69525.01,13.11,249.34,236.23,LOSS,0.00,-13.11,LIVE
2026-03-02T16:00:02.881401+00:00,T1772467202881,1476351,"Bitcoin Up or Down - March 2, 11:00AM-11:15AM ET",UP,0.4750,0.5200,0.0450,69132.99,12.47,236.23,250.02,WIN,26.25,13.78,LIVE
2026-03-02T16:45:03.617815+00:00,T1772469903617,1477033,"Bitcoin Up or Down - March 2, 11:45AM-12:00PM ET",UP,0.4950,0.5500,0.0550,69833.22,13.07,248.36,235.29,LOSS,0.00,-13.07,LIVE
2026-03-02T17:30:01.435993+00:00,T1772472601435,1477405,"Bitcoin Up or Down - March 2, 12:30PM-12:45PM ET",UP,0.4950,0.5200,0.0250,69406.33,12.42,235.95,223.53,LOSS,0.00,-12.42,LIVE
2026-03-02T19:00:14.237969+00:00,T1772478014237,1477835,"Bitcoin Up or Down - March 2, 2:00PM-2:15PM ET",DOWN,0.4850,0.5200,0.0350,68890.10,11.80,224.42,236.95,WIN,24.33,12.53,LIVE
2026-03-02T21:00:01.881697+00:00,T1772485201881,1478563,"Bitcoin Up or Down - March 2, 4:00PM-4:15PM ET",DOWN,0.4600,0.5500,0.0250,69151.20,11.86,225.35,213.49,LOSS,0.00,-11.86,LIVE
2026-03-02T21:15:02.342798+00:00,T1772486102342,1478690,"Bitcoin Up or Down - March 2, 4:15PM-4:30PM ET",UP,0.4950,0.5500,0.0550,69287.68,11.27,213.49,224.98,WIN,22.77,11.50,LIVE
2026-03-02T21:30:02.272353+00:00,T1772487002272,1478719,"Bitcoin Up or Down - March 2, 4:30PM-4:45PM ET",UP,0.4850,0.5200,0.0350,69431.11,10.70,224.98,236.35,WIN,22.06,11.36,LIVE
2026-03-02T22:45:51.427232+00:00,T1772491551427,1479176,"Bitcoin Up or Down - March 2, 5:45PM-6:00PM ET",UP,0.5095,0.5200,0.0250,69412.68,12.49,237.30,249.32,WIN,24.51,12.02,LIVE
2026-03-02T23:01:04.565111+00:00,T1772492464565,1479237,"Bitcoin Up or Down - March 2, 6:00PM-6:15PM ET",UP,0.4500,0.5200,0.0250,69416.00,11.86,249.32,237.46,LOSS,0.00,-11.86,LIVE
2026-03-02T23:30:01.840179+00:00,T1772494201840,1479545,"Bitcoin Up or Down - March 2, 6:30PM-6:45PM ET",DOWN,0.4699,0.5200,0.0250,69014.26,12.48,237.07,251.15,WIN,26.56,14.08,LIVE
2026-03-03T01:00:01.947935+00:00,T1772499601947,1479955,"Bitcoin Up or Down - March 2, 8:00PM-8:15PM ET",UP,0.4699,0.5500,0.0550,69092.88,13.16,250.04,264.88,WIN,28.01,14.85,LIVE
2026-03-03T01:30:27.602879+00:00,T1772501427602,1480105,"Bitcoin Up or Down - March 2, 8:30PM-8:45PM ET",DOWN,0.5100,0.5200,0.0250,68903.39,13.88,265.33,251.45,LOSS,0.00,-13.88,LIVE
2026-03-03T07:15:02.890781+00:00,T1772522102890,1481704,"Bitcoin Up or Down - March 3, 2:15AM-2:30AM ET",UP,0.5200,0.5200,0.0250,68185.16,13.27,252.08,264.33,WIN,25.52,12.25,LIVE
2026-03-03T07:46:22.275670+00:00,T1772523982275,1481740,"Bitcoin Up or Down - March 3, 2:45AM-3:00AM ET",UP,0.4950,0.5200,0.0250,68234.01,13.88,263.71,249.83,LOSS,0.00,-13.88,LIVE
2026-03-03T11:00:03.342971+00:00,T1772535603342,1482591,"Bitcoin Up or Down - March 3, 6:00AM-6:15AM ET",UP,0.4699,0.5500,0.0550,66876.52,13.19,251.07,265.95,WIN,28.07,14.88,LIVE
2026-03-03T13:15:03.614533+00:00,T1772543703614,1483242,"Bitcoin Up or Down - March 3, 8:15AM-8:30AM ET",DOWN,0.3800,0.5200,0.0450,67034.20,13.88,264.37,250.49,LOSS,0.00,-13.88,LIVE
2026-03-03T15:00:04.114253+00:00,T1772550004114,1483571,"Bitcoin Up or Down - March 3, 10:00AM-10:15AM ET",DOWN,0.4750,0.5200,0.0450,66590.68,13.22,251.76,238.54,LOSS,0.00,-13.22,LIVE
2026-03-03T16:00:02.298984+00:00,T1772553602298,1483745,"Bitcoin Up or Down - March 3, 11:00AM-11:15AM ET",UP,0.4900,0.5500,0.0700,67720.13,12.59,239.19,252.29,WIN,25.69,13.10,LIVE
2026-03-03T16:45:02.141336+00:00,T1772556302141,1483937,"Bitcoin Up or Down - March 3, 11:45AM-12:00PM ET",UP,0.5196,0.5200,0.0250,67728.00,13.23,251.44,263.67,WIN,25.46,12.23,LIVE
2026-03-03T17:00:08.490651+00:00,T1772557208490,1484907,"Bitcoin Up or Down - March 3, 12:00PM-12:15PM ET",DOWN,0.5100,0.5500,0.0400,68157.18,12.57,263.67,275.75,WIN,24.65,12.08,LIVE
2026-03-03T17:15:06.391572+00:00,T1772558106391,1485122,"Bitcoin Up or Down - March 3, 12:15PM-12:30PM ET",UP,0.5050,0.5500,0.0450,67904.61,13.20,275.75,288.69,WIN,26.14,12.94,LIVE
2026-03-03T17:45:52.308068+00:00,T1772559952308,1485278,"Bitcoin Up or Down - March 3, 12:45PM-1:00PM ET",UP,0.4900,0.5200,0.0300,68128.99,15.10,286.96,302.68,WIN,30.82,15.72,LIVE
2026-03-03T20:15:02.809980+00:00,T1772568902809,1486307,"Bitcoin Up or Down - March 3, 3:15PM-3:30PM ET",DOWN,0.4850,0.5200,0.0350,68201.69,15.90,302.02,286.12,LOSS,0.00,-15.90,LIVE
2026-03-04T04:00:06.877587+00:00,T1772596806877,1488648,"Bitcoin Up or Down - March 3, 11:00PM-11:15PM ET",UP,0.5198,0.5500,0.0250,67741.95,15.10,286.94,300.89,WIN,29.05,13.95,LIVE
2026-03-04T11:15:15.366226+00:00,T1772622915366,1491335,"Bitcoin Up or Down - March 4, 6:15AM-6:30AM ET",UP,0.4950,0.5200,0.0250,71436.69,15.77,299.75,283.98,LOSS,0.00,-15.77,LIVE
2026-03-04T14:15:01.681626+00:00,T1772633701681,1492313,"Bitcoin Up or Down - March 4, 9:15AM-9:30AM ET",UP,0.4497,0.5500,0.0850,71812.19,14.99,284.78,269.79,LOSS,0.00,-14.99,LIVE
2026-03-04T14:30:03.012644+00:00,T1772634603012,1492331,"Bitcoin Up or Down - March 4, 9:30AM-9:45AM ET",UP,0.4596,0.5200,0.0550,71713.80,14.24,269.79,255.55,LOSS,0.00,-14.24,LIVE
2026-03-04T15:30:31.283365+00:00,T1772638231283,1492630,"Bitcoin Up or Down - March 4, 10:30AM-10:45AM ET",UP,0.3999,0.5200,0.0550,72890.50,13.53,257.38,243.85,LOSS,0.00,-13.53,LIVE
2026-03-07T19:45:03.769808+00:00,T1772912703769,1517453,"Bitcoin Up or Down - March 7, 2:45PM-3:00PM ET",DOWN,0.4750,0.5200,0.0450,67206.75,12.87,244.53,258.76,WIN,27.09,14.22,LIVE
2026-03-08T17:00:32.803691+00:00,T1772989232803,1525390,"Bitcoin Up or Down - March 8, 1:00PM-1:15PM ET",DOWN,0.4595,0.5200,0.0550,66873.60,13.81,262.43,248.62,LOSS,0.00,-13.81,LIVE
2026-03-08T21:15:03.934222+00:00,T1773004503934,1527065,"Bitcoin Up or Down - March 8, 5:15PM-5:30PM ET",DOWN,0.4850,0.5500,0.0650,66788.91,13.12,249.33,236.21,LOSS,0.00,-13.12,LIVE
