timestamp,trade_id,market_id,market_question,side,entry_odds,fair_probability,edge,btc_price,bet_size,balance_before,balance_after,outcome,payout,profit_loss,mode
2026-02-08T10:30:02.069194+00:00,T1770546602069,1351127,"Bitcoin Up or Down - February 8, 5:30AM-5:45AM ET",DOWN,0.4850,0.5200,0.0350,70048.80,1.40,46.75,43.05,LOSS,0.00,-1.40,LIVE
2026-02-08T17:16:26.789557+00:00,T1770570986789,1352089,"Bitcoin Up or Down - February 8, 12:15PM-12:30PM E",UP,0.4950,0.5500,0.0550,70809.68,1.33,44.45,39.02,LOSS,0.00,-1.33,LIVE
2026-02-08T17:32:20.539149+00:00,T1770571940539,1352540,"Bitcoin Up or Down - February 8, 12:30PM-12:45PM E",UP,0.7700,0.5500,0.0350,70718.41,1.21,40.35,39.37,WIN,1.56,0.35,LIVE
2026-02-08T19:01:15.240466+00:00,T1770577275240,1352859,"Bitcoin Up or Down - February 8, 2:00PM-2:15PM ET",UP,0.7900,0.5200,0.0350,71274.00,1.14,39.37,32.84,WIN,1.43,0.29,LIVE
2026-02-08T19:15:27.022751+00:00,T1770578127022,1352875,"Bitcoin Up or Down - February 8, 2:15PM-2:30PM ET",UP,0.4950,0.5500,0.0550,71373.11,1.13,32.55,31.71,LOSS,0.00,-1.13,LIVE
2026-02-08T23:30:21.225251+00:00,T1770593421225,1353575,"Bitcoin Up or Down - February 8, 6:30PM-6:45PM ET",DOWN,0.6100,0.5500,0.0550,70412.49,1.18,39.48,34.86,WIN,1.92,0.74,LIVE
2026-02-09T00:16:27.493218+00:00,T1770596187493,1354002,"Bitcoin Up or Down - February 8, 7:15PM-7:30PM ET",DOWN,0.6100,0.5200,0.0350,70519.75,1.23,34.86,36.91,WIN,2.00,0.77,LIVE
2026-02-09T03:16:48.784251+00:00,T1770607008784,1354256,"Bitcoin Up or Down - February 8, 10:15PM-10:30PM E",UP,0.7800,0.5500,0.0550,70902.32,1.23,41.07,37.50,WIN,1.56,0.33,LIVE
2026-02-09T03:45:24.192730+00:00,T1770608724192,1354277,"Bitcoin Up or Down - February 8, 10:45PM-11:00PM E",UP,0.5600,0.5200,0.0500,71196.13,1.31,37.50,40.37,WIN,2.32,1.01,LIVE
2026-02-09T05:01:03.591355+00:00,T1770613263591,1354478,"Bitcoin Up or Down - February 9, 12:00AM-12:15AM E",DOWN,0.5900,0.5200,0.0350,70963.59,1.40,40.37,42.29,WIN,2.35,0.95,LIVE
2026-02-09T07:31:04.355457+00:00,T1770622264355,1354843,"Bitcoin Up or Down - February 9, 2:30AM-2:45AM ET",DOWN,0.7600,0.5500,0.0450,70594.74,1.46,42.29,47.43,WIN,1.90,0.44,LIVE
2026-02-09T09:30:07.752100+00:00,T1770629407752,1355097,"Bitcoin Up or Down - February 9, 4:30AM-4:45AM ET",DOWN,0.5400,0.5200,0.0350,69868.72,3.32,47.43,46.88,WIN,6.09,2.77,LIVE
2026-02-09T10:15:04.756156+00:00,T1770632104756,1355176,"Bitcoin Up or Down - February 9, 5:15AM-5:30AM ET",DOWN,0.4950,0.5500,0.0550,69526.71,3.94,46.88,50.27,WIN,7.88,3.94,LIVE
2026-02-09T10:30:08.879867+00:00,T1770633008879,1355196,"Bitcoin Up or Down - February 9, 5:30AM-5:45AM ET",DOWN,0.4500,0.5200,0.0650,69015.83,3.24,46.33,54.15,WIN,7.13,3.89,LIVE
2026-02-09T11:15:01.664929+00:00,T1770635701664,1355325,"Bitcoin Up or Down - February 9, 6:15AM-6:30AM ET",DOWN,0.4850,0.5200,0.0350,68611.82,4.58,54.15,49.53,LOSS,0.00,-4.58,LIVE
2026-02-09T14:00:07.871138+00:00,T1770645607871,1355601,"Bitcoin Up or Down - February 9, 9:00AM-9:15AM ET",DOWN,0.4750,0.5500,0.0750,68630.04,3.79,49.53,46.54,LOSS,0.00,-3.79,LIVE
2026-02-09T15:15:56.737788+00:00,T1770650156737,1355968,"Bitcoin Up or Down - February 9, 10:15AM-10:30AM E",UP,0.5300,0.5200,0.0650,69530.19,3.52,46.54,43.36,LOSS,0.00,-3.52,LIVE
2026-02-09T21:30:45.816464+00:00,T1770672645816,1356883,"Bitcoin Up or Down - February 9, 4:30PM-4:45PM ET",DOWN,0.4800,0.5200,0.0400,70304.07,3.28,46.88,47.08,WIN,6.76,3.48,LIVE
